Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,Randomise questionnaire elements?,Question Key,Response
2,1614184463437,24/02/2021 16:34:23,1614184526630,0,24/02/2021 16:35:26,37087,25,questionnaire-9g37,,10338054,5f107fd6263294073eea5c49,3144995,,complete,,60367ff2e57c279fd742dec6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x657,,Generic Consent,1,EP,,,11,,,No,ConsentFlag,1
3,1614184463484,24/02/2021 16:34:23,1614184526636,0,24/02/2021 16:35:26,37087,25,questionnaire-9g37,,10338054,5f107fd6263294073eea5c49,3144995,,complete,,60367ff2e57c279fd742dec6,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1366x768,1366x657,,Generic Consent,1,EP,,,11,,,No,END QUESTIONNAIRE,7956
1,1614184459837,24/02/2021 16:34:19,1614184459468,0,24/02/2021 16:34:19,37087,25,questionnaire-9g37,,10338058,59e8fa1216ecc200016ff396,3144997,,complete,,6036800345216b02adf29baa,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Generic Consent,1,NNs,,,,,1,No,BEGIN QUESTIONNAIRE,
2,1614184465205,24/02/2021 16:34:25,1614184464854,0,24/02/2021 16:34:24,37087,25,questionnaire-9g37,,10338058,59e8fa1216ecc200016ff396,3144997,,complete,,6036800345216b02adf29baa,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Generic Consent,1,NNs,,,,,1,No,ConsentFlag,1
3,1614184465276,24/02/2021 16:34:25,1614184464854,0,24/02/2021 16:34:24,37087,25,questionnaire-9g37,,10338058,59e8fa1216ecc200016ff396,3144997,,complete,,6036800345216b02adf29baa,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,1536x864,1536x754,,Generic Consent,1,NNs,,,,,1,No,END QUESTIONNAIRE,5386
1,1614184495793,24/02/2021 16:34:55,1614184494970,0,24/02/2021 16:34:54,37087,25,questionnaire-9g37,,10338099,5d15f6ad8078020001aa614a,3145009,,complete,,60368027507dd9e6602b54aa,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,2560x1440,2560x1297,,Generic Consent,1,SOD,,,,9,,No,BEGIN QUESTIONNAIRE,
2,1614184522505,24/02/2021 16:35:22,1614184521732,0,24/02/2021 16:35:21,37087,25,questionnaire-9g37,,10338099,5d15f6ad8078020001aa614a,3145009,,complete,,60368027507dd9e6602b54aa,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,2560x1440,2560x1297,,Generic Consent,1,SOD,,,,9,,No,ConsentFlag,1
3,1614184522573,24/02/2021 16:35:22,1614184521733,0,24/02/2021 16:35:21,37087,25,questionnaire-9g37,,10338099,5d15f6ad8078020001aa614a,3145009,,complete,,60368027507dd9e6602b54aa,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.182,2560x1440,2560x1297,,Generic Consent,1,SOD,,,,9,,No,END QUESTIONNAIRE,26763
1,1614184550232,24/02/2021 16:35:50,1614184549359,0,24/02/2021 16:35:49,37087,25,questionnaire-9g37,,10338159,5cd72bfdb3ea230019f84106,3145061,,complete,,6036805bd2bb853fbab0f20c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Generic Consent,1,GradCAM,,12,,,,No,BEGIN QUESTIONNAIRE,
2,1614184556413,24/02/2021 16:35:56,1614184555597,0,24/02/2021 16:35:55,37087,25,questionnaire-9g37,,10338159,5cd72bfdb3ea230019f84106,3145061,,complete,,6036805bd2bb853fbab0f20c,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4324.190,1920x1080,1920x937,,Generic Consent,1,GradCAM,,12,,,,No,ConsentFlag,1
